,Row,Column,Value
2742,occidental,tate,0.2761479624918041
2972,saatchi,saskatchewan,0.28440976778183136
1310,degussa,saatchi,0.2950635362861491
387,att,bigelow,0.3043393276971478
2612,mile,saatchi,0.3061195453113993
2734,occidental,saatchi,0.30771996192087386
2987,saatchi,yearend,0.31161683279334185
649,bigelow,platinum,0.3117064954204708
2012,gpu,saatchi,0.3132652225242355
2988,saatchi,zone,0.3158152822208163
2437,love,saatchi,0.3196963793005255
1865,foot,saatchi,0.32370559339528676
2980,saatchi,trailways,0.3247612843148535
2950,rig,saatchi,0.32485103843557445
2427,love,occidental,0.3259377859524574
900,chargeoffs,gpu,0.32785140857929057
2237,inch,saatchi,0.3290824282097645
439,att,saatchi,0.32913788538076005
1220,decree,gpu,0.3296927432493314
929,chargeoffs,saatchi,0.33071477464733656
2675,multifoods,saatchi,0.3327328884003313
995,choke,saatchi,0.3333190016820421
1249,decree,saatchi,0.3342588267166319
2730,occidental,precious,0.33465378312336475
1855,foot,occidental,0.3349221109204474
2310,kistler,occidental,0.33528044695722836
1935,gathering,gpu,0.3355855914073254
1964,gathering,saatchi,0.3356507649432863
2602,mile,occidental,0.33640484681213406
2748,occidental,turner,0.3364450155905062
2269,johnson,occidental,0.3364933846339109
137,appointment,saatchi,0.3382221599235156
2976,saatchi,stos,0.3388750985422115
2984,saatchi,upgraded,0.3392173877094168
2974,saatchi,southwestern,0.3418049770470533
2008,gpu,precious,0.3422967355552715
612,bigelow,decree,0.34313307014434796
1733,find,gpu,0.3432187461802615
985,choke,occidental,0.34365269545342614
2019,gpu,stos,0.34479079368388843
2705,natural_gas,saatchi,0.3457134340974677
1370,depth,saatchi,0.3457435900106176
584,basin,saatchi,0.3459755508341791
1177,deak,occidental,0.3474914011920152
1239,decree,occidental,0.34788379024599386
2840,platinum,saatchi,0.34822772114297607
2006,gpu,platinum,0.34839279800668305
2750,occidental,versatile,0.3485965977930118
2005,gpu,pan,0.3487795808278344
655,bigelow,saatchi,0.3488249186325727
725,bko,saatchi,0.3490096095877697
2733,occidental,rig,0.3491084559727456
2970,saatchi,saga,0.35006718912720114
2977,saatchi,tate,0.35010973440884224
1814,fluorocarbon,saatchi,0.35049149002684393
2982,saatchi,transmission,0.35057524386024436
2028,gpu,versatile,0.35074529149159783
2744,occidental,tool,0.3511859882337206
2011,gpu,rig,0.3527234507968384
1544,drilling,saatchi,0.35322875448222524
2732,occidental,reading,0.35411622628243267
630,bigelow,ic,0.3545108455515467
2726,occidental,oxy,0.3547488133279973
1998,gpu,mile,0.35527468377307514
2105,ht,saatchi,0.3554315724975277
2569,meter,occidental,0.35630648027789635
1954,gathering,occidental,0.35678585874237373
2464,masse,occidental,0.35768929496272955
2975,saatchi,sprint,0.35774811180370586
654,bigelow,rig,0.35779090725777346
2360,lasmo,saatchi,0.35860866277771686
2979,saatchi,tool,0.359133104797911
2985,saatchi,versatile,0.35948702759555007
2500,matthey,occidental,0.3601240190341874
862,carolin,saatchi,0.360610057697723
2140,hughes,occidental,0.36088408710895375
2762,oklahoma,saatchi,0.36145477489422284
715,bko,occidental,0.3615490270971
2634,mitchell,occidental,0.36176380373801115
214,arkansas,saatchi,0.3618659765744508
1988,gpu,inch,0.3619777352742291
2930,reading,saatchi,0.3620727256592583
2986,saatchi,width,0.3621027911078281
2887,precious,saatchi,0.36212153906811984
1487,drill,saatchi,0.3621239120329185
919,chargeoffs,occidental,0.36276000647640727
2579,meter,saatchi,0.36308476559707126
2227,inch,occidental,0.3631984702456931
2030,gpu,yearend,0.3634664572431211
1991,gpu,lasmo,0.36374052423016706
2909,radiation,saatchi,0.3640605110932283
2010,gpu,reading,0.3641415285561051
1060,condensate,saatchi,0.3642773500368774
1752,find,occidental,0.3644816961483929
2735,occidental,saga,0.364559801143391
2017,gpu,southwestern,0.36580731876829253
1709,ferc,saatchi,0.3660165779724884
2741,occidental,stos,0.3660431032280388
1762,find,saatchi,0.36627253181474645
1655,exploratory,saatchi,0.36640356899026294
2978,saatchi,tennessee,0.3671058315942314
2973,saatchi,shv,0.3678025499279012
2314,kistler,platinum,0.3682586305187679
2002,gpu,occidental,0.3687383887028223
1804,fluorocarbon,occidental,0.3692140074231241
1626,exploratory,gpu,0.37057038050642044
502,baker,occidental,0.3720213680941748
2350,lasmo,occidental,0.372482154290865
2049,heller,occidental,0.372588395151428
1515,drilling,gpu,0.3729522355754866
636,bigelow,love,0.3730769180717517
625,bigelow,gathering,0.37310993993675096
2184,ic,occidental,0.37448570661946345
2194,ic,saatchi,0.37480904070892884
631,bigelow,inch,0.37604570411274435
2981,saatchi,transco,0.37620391248171525
512,baker,saatchi,0.3767921182030988
59,agip,saatchi,0.3772565726495116
2022,gpu,tool,0.37731567126895926
852,carolin,occidental,0.3777438521913416
85,appointment,bigelow,0.3778923805846784
2752,occidental,yearend,0.3779410851576578
365,assay,saatchi,0.37808900319821065
2020,gpu,tate,0.37958322102704345
127,appointment,occidental,0.3801083986562872
1915,gas,saatchi,0.38098875654300085
1996,gpu,mayo,0.3812313008884013
2545,mayo,saatchi,0.38263834624393717
280,arkla,occidental,0.3837197416989387
1477,drill,occidental,0.3837688423702256
2971,saatchi,sand,0.38380021378352047
624,bigelow,gas,0.38390559259146484
671,bigelow,versatile,0.3842132375859317
966,choke,gpu,0.3842810649413615
2727,occidental,pan,0.3846242280258666
1031,condensate,gpu,0.3854599691608149
648,bigelow,pan,0.3857502722735975
1905,gas,occidental,0.38576899966077294
2095,ht,occidental,0.38614255210533466
2731,occidental,radiation,0.38617664400256313
2013,gpu,saga,0.3865103233899371
2738,occidental,shv,0.38675088179117667
2279,johnson,saatchi,0.3888724642809215
1054,condensate,platinum,0.3890514829054649
49,agip,occidental,0.3891552818537663
621,bigelow,find,0.3892032989002857
1281,degussa,gpu,0.39010204325651576
662,bigelow,stos,0.390549684110532
2389,levon,occidental,0.39067918503019783
429,att,occidental,0.39074397377076264
2320,kistler,saatchi,0.3908773463606953
1124,cubic,saatchi,0.39104065250421494
1836,foot,gpu,0.3928682880774875
2026,gpu,turner,0.3938926466481168
555,basin,gpu,0.39435614780089107
1999,gpu,mitchell,0.39467280427000845
617,bigelow,drilling,0.3947944188321044
1994,gpu,masse,0.39573666660017387
615,bigelow,discovery,0.3960026835020301
1990,gpu,kistler,0.3961324930274369
608,bigelow,choke,0.3961444708796365
2864,plaza,saatchi,0.3967972667499199
1458,drill,gpu,0.3974884976625371
1986,gpu,hughes,0.3976374229396712
1997,gpu,meter,0.3980449035018322
2007,gpu,plaza,0.3984927553619479
1590,eni,occidental,0.39851115434288686
2024,gpu,transco,0.39869656279784
2728,occidental,platinum,0.3995756945008685
2815,pan,saatchi,0.3998656065309849
108,appointment,gpu,0.4020275004717467
1095,cubic,gpu,0.4028856574712356
1304,degussa,platinum,0.4038736136714142
1158,deak,gpu,0.40500536268932663
1886,gas,gpu,0.40517034803098706
1785,fluorocarbon,gpu,0.4052574876234753
2789,oxy,saatchi,0.4053168140549377
627,bigelow,heller,0.40543400363480203
640,bigelow,meter,0.40634258403158563
2021,gpu,tennessee,0.40706695707586893
794,brooklyn,saatchi,0.40724774026451166
1984,gpu,heller,0.4074518417607105
610,bigelow,cubic,0.40767101755277124
2746,occidental,transco,0.4078650004202168
1300,degussa,occidental,0.408061045055392
2009,gpu,radiation,0.40817521219265684
2747,occidental,transmission,0.4088719908762171
1534,drilling,occidental,0.40900011587317114
2753,occidental,zone,0.4094337116665687
619,bigelow,exploratory,0.40946280496063525
30,agip,gpu,0.40954823375507954
607,bigelow,chargeoffs,0.4107619863919664
2695,natural_gas,occidental,0.41086254061777827
1987,gpu,ic,0.41093139342378093
651,bigelow,precious,0.4109389629207001
652,bigelow,radiation,0.41112651880521
2740,occidental,sprint,0.41163306718004883
1187,deak,saatchi,0.41252434423807116
1400,discovery,gpu,0.41269220601160245
1341,depth,gpu,0.4132402638028309
